hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166974
sparsity;0.53668022
a-priori fpp;0.00045692
fpp;0.00045584
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
51;410;2746;9;2754;0.67110693;0.67318505;0.00000122;0.00000123;0.00001481;0.00607199;0.00001390;0.99394637
52;408;2743;12;2760;0.67372328;0.67846608;0.00000114;0.00000114;0.00001367;0.00557854;0.00001181;0.99443692
53;406;2741;4;2775;0.67633694;0.68417162;0.00000106;0.00000107;0.00001262;0.00512221;0.00000987;0.99489087
54;404;2738;10;2741;0.67894781;0.68014890;0.00000098;0.00000098;0.00001163;0.00470043;0.00001121;0.99531054
55;402;2735;9;2746;0.68155575;0.68461728;0.00000091;0.00000091;0.00001072;0.00431083;0.00000974;0.99569845
56;400;2731;6;2725;0.68416065;0.68227339;0.00000085;0.00000084;0.00000988;0.00395114;0.00001048;0.99605662
57;398;2728;11;2717;0.68676239;0.68455529;0.00000078;0.00000078;0.00000909;0.00361928;0.00000976;0.99638724
58;396;2725;5;2743;0.68936086;0.69355249;0.00000073;0.00000073;0.00000837;0.00331327;0.00000730;0.99669218
59;394;2721;13;2739;0.69195598;0.69747901;0.00000067;0.00000068;0.00000769;0.00303126;0.00000642;0.99697334
60;392;2718;6;2755;0.69454765;0.70388347;0.00000062;0.00000063;0.00000707;0.00277154;0.00000518;0.99723232
61;390;2714;7;2666;0.69713575;0.68481892;0.00000058;0.00000056;0.00000649;0.00253247;0.00000967;0.99747074
62;388;2710;6;2694;0.69972008;0.69540524;0.00000053;0.00000053;0.00000596;0.00231257;0.00000687;0.99769008
63;386;2706;11;2700;0.70230061;0.70148093;0.00000049;0.00000049;0.00000547;0.00211041;0.00000562;0.99789178
64;384;2702;6;2751;0.70487726;0.71752739;0.00000046;0.00000046;0.00000501;0.00192468;0.00000323;0.99807715
65;382;2698;5;2696;0.70744979;0.70668411;0.00000042;0.00000042;0.00000459;0.00175415;0.00000471;0.99824739
66;380;2693;8;2698;0.71001822;0.71149790;0.00000039;0.00000039;0.00000420;0.00159768;0.00000399;0.99840361
67;378;2689;6;2682;0.71258241;0.71065181;0.00000036;0.00000036;0.00000385;0.00145420;0.00000411;0.99854684
68;376;2684;6;2689;0.71514219;0.71630263;0.00000033;0.00000033;0.00000352;0.00132272;0.00000338;0.99867815
69;374;2679;8;2651;0.71769744;0.71034300;0.00000030;0.00000030;0.00000321;0.00120232;0.00000416;0.99879843
70;372;2675;5;2671;0.72024816;0.71897709;0.00000028;0.00000028;0.00000294;0.00109213;0.00000307;0.99890846
71;370;2670;7;2614;0.72279412;0.70782560;0.00000026;0.00000025;0.00000268;0.00099135;0.00000453;0.99900913
72;368;2665;8;2682;0.72533524;0.73039216;0.00000024;0.00000024;0.00000244;0.00089924;0.00000203;0.99910116
73;366;2659;6;2629;0.72787136;0.71948552;0.00000022;0.00000021;0.00000223;0.00081512;0.00000302;0.99918520
74;364;2654;3;2644;0.73040247;0.72697276;0.00000020;0.00000020;0.00000203;0.00073835;0.00000230;0.99926192
75;362;2649;8;2671;0.73292840;0.73947954;0.00000018;0.00000018;0.00000185;0.00066832;0.00000144;0.99933189
76;360;2643;5;2668;0.73544908;0.74214184;0.00000017;0.00000017;0.00000168;0.00060450;0.00000130;0.99939567
77;358;2637;7;2632;0.73796427;0.73663586;0.00000015;0.00000015;0.00000153;0.00054637;0.00000161;0.99945378
78;356;2632;5;2598;0.74047399;0.73080170;0.00000014;0.00000014;0.00000139;0.00049347;0.00000200;0.99950665
79;354;2626;0;2633;0.74297804;0.74378532;0.00000013;0.00000013;0.00000126;0.00044535;0.00000122;0.99955475
80;352;2620;10;2629;0.74547637;0.74900287;0.00000012;0.00000012;0.00000114;0.00040163;0.00000099;0.99959844
81;350;2614;7;2638;0.74796885;0.75522476;0.00000011;0.00000011;0.00000103;0.00036192;0.00000077;0.99963814
82;348;2607;9;2556;0.75045532;0.73638719;0.00000010;0.00000010;0.00000094;0.00032588;0.00000162;0.99967414
83;346;2601;4;2573;0.75293571;0.74450231;0.00000009;0.00000009;0.00000085;0.00029321;0.00000119;0.99970680
84;344;2594;5;2573;0.75540984;0.74905384;0.00000008;0.00000008;0.00000077;0.00026360;0.00000099;0.99973643
85;342;2588;7;2616;0.75787771;0.76648110;0.00000007;0.00000007;0.00000069;0.00023680;0.00000048;0.99976325
86;340;2581;8;2556;0.76033908;0.75353771;0.00000007;0.00000007;0.00000063;0.00021254;0.00000083;0.99978745
87;338;2574;5;2569;0.76279396;0.76118517;0.00000006;0.00000006;0.00000056;0.00019062;0.00000060;0.99980938
88;336;2567;11;2575;0.76524210;0.76888621;0.00000006;0.00000006;0.00000051;0.00017082;0.00000043;0.99982917
89;334;2560;2;2586;0.76768351;0.77471542;0.00000005;0.00000005;0.00000046;0.00015295;0.00000034;0.99984705
90;332;2553;4;2575;0.77011800;0.77653801;0.00000005;0.00000005;0.00000041;0.00013683;0.00000031;0.99986315
91;330;2545;7;2584;0.77254546;0.78469479;0.00000004;0.00000004;0.00000037;0.00012231;0.00000021;0.99987769
92;328;2538;4;2571;0.77496582;0.78479856;0.00000004;0.00000004;0.00000033;0.00010923;0.00000021;0.99989074
93;326;2530;4;2548;0.77737892;0.78255528;0.00000003;0.00000003;0.00000030;0.00009747;0.00000024;0.99990255
94;324;2523;9;2516;0.77978468;0.77870631;0.00000003;0.00000003;0.00000027;0.00008690;0.00000028;0.99991310
95;322;2515;5;2492;0.78218293;0.77511662;0.00000003;0.00000003;0.00000024;0.00007741;0.00000033;0.99992257
96;320;2507;3;2542;0.78457361;0.79512042;0.00000003;0.00000003;0.00000022;0.00006889;0.00000013;0.99993110
97;318;2499;6;2483;0.78695661;0.78229362;0.00000002;0.00000002;0.00000019;0.00006125;0.00000024;0.99993873
98;316;2491;4;2503;0.78933173;0.79309255;0.00000002;0.00000002;0.00000017;0.00005441;0.00000014;0.99994558
99;314;2482;8;2492;0.79169899;0.79565775;0.00000002;0.00000002;0.00000015;0.00004829;0.00000013;0.99995172
100;312;2474;5;2437;0.79405814;0.78234351;0.00000002;0.00000002;0.00000014;0.00004282;0.00000024;0.99995720
101;310;2465;4;2477;0.79640919;0.80006462;0.00000001;0.00000001;0.00000012;0.00003793;0.00000010;0.99996209
102;308;2457;1;2476;0.79875195;0.80415720;0.00000001;0.00000001;0.00000011;0.00003356;0.00000008;0.99996644
103;306;2448;2;2519;0.80108631;0.82374102;0.00000001;0.00000001;0.00000010;0.00002967;0.00000003;0.99997032
104;304;2439;6;2487;0.80341214;0.81970996;0.00000001;0.00000001;0.00000009;0.00002621;0.00000004;0.99997377
105;302;2430;6;2384;0.80572939;0.79097545;0.00000001;0.00000001;0.00000008;0.00002312;0.00000016;0.99997687
106;300;2421;4;2441;0.80803788;0.81475300;0.00000001;0.00000001;0.00000007;0.00002038;0.00000005;0.99997962
107;298;2411;1;2413;0.81033760;0.81000334;0.00000001;0.00000001;0.00000006;0.00001795;0.00000006;0.99998206
108;296;2402;2;2387;0.81262827;0.80696416;0.00000001;0.00000001;0.00000005;0.00001579;0.00000007;0.99998420
109;294;2392;8;2389;0.81490993;0.81480217;0.00000001;0.00000001;0.00000005;0.00001387;0.00000005;0.99998611
