hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
51;410;2746;8;2756;0.67110693;0.67350930;0.00000122;0.00000124;0.00001481;0.00607199;0.00001376;0.99394637
52;408;2743;8;2760;0.67372328;0.67779958;0.00000114;0.00000115;0.00001367;0.00557854;0.00001206;0.99443692
53;406;2741;11;2755;0.67633694;0.68041492;0.00000106;0.00000107;0.00001262;0.00512221;0.00001111;0.99489087
54;404;2738;11;2767;0.67894781;0.68677092;0.00000098;0.00000100;0.00001163;0.00470043;0.00000909;0.99531054
55;402;2735;6;2744;0.68155575;0.68360740;0.00000091;0.00000092;0.00001072;0.00431083;0.00001005;0.99569845
56;400;2731;9;2707;0.68416065;0.67827612;0.00000085;0.00000084;0.00000988;0.00395114;0.00001188;0.99605662
57;398;2728;8;2681;0.68676239;0.67497480;0.00000078;0.00000078;0.00000909;0.00361928;0.00001316;0.99638724
58;396;2725;10;2721;0.68936086;0.68886077;0.00000073;0.00000073;0.00000837;0.00331327;0.00000850;0.99669218
59;394;2721;5;2742;0.69195598;0.69682336;0.00000067;0.00000068;0.00000769;0.00303126;0.00000656;0.99697334
60;392;2718;6;2701;0.69454765;0.69008684;0.00000062;0.00000062;0.00000707;0.00277154;0.00000817;0.99723232
61;390;2714;9;2709;0.69713575;0.69622207;0.00000058;0.00000058;0.00000649;0.00253247;0.00000669;0.99747074
62;388;2710;7;2759;0.69972008;0.71236765;0.00000053;0.00000055;0.00000596;0.00231257;0.00000388;0.99769008
63;386;2706;8;2731;0.70230061;0.70898235;0.00000049;0.00000050;0.00000547;0.00211041;0.00000436;0.99789178
64;384;2702;4;2679;0.70487726;0.69838375;0.00000046;0.00000045;0.00000501;0.00192468;0.00000623;0.99807715
65;382;2698;4;2703;0.70744979;0.70833331;0.00000042;0.00000042;0.00000459;0.00175415;0.00000446;0.99824739
66;380;2693;5;2716;0.71001822;0.71567851;0.00000039;0.00000039;0.00000420;0.00159768;0.00000345;0.99840361
