hash_family;0
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167200
sparsity;0.53689575
a-priori fpp;0.00045692
fpp;0.00045372
a-priori safeness probability;0.03131089
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
51;241;1464;6;1489;0.60811055;0.61938435;0.00000309;0.00000311;0.00008544;0.02058984;0.00006381;0.97961980
52;240;1461;4;1436;0.60950398;0.59933221;0.00000299;0.00000291;0.00008245;0.01978688;0.00010662;0.98040682
53;252;1538;3;1520;0.61097056;0.60389352;0.00000304;0.00000298;0.00007940;0.02000900;0.00009509;0.98018909
54;257;1572;1;1592;0.61246985;0.61969638;0.00000301;0.00000301;0.00007639;0.01963307;0.00006329;0.98055768
55;273;1674;4;1685;0.61406648;0.61812180;0.00000309;0.00000308;0.00007330;0.02001186;0.00006596;0.98018634
56;245;1506;3;1508;0.61550295;0.61626482;0.00000268;0.00000266;0.00007062;0.01730200;0.00006923;0.98284620
57;286;1763;4;1780;0.61718404;0.62324929;0.00000303;0.00000302;0.00006759;0.01933155;0.00005762;0.98085350
58;243;1501;2;1490;0.61861598;0.61367381;0.00000249;0.00000244;0.00006511;0.01582091;0.00007405;0.98430306
59;259;1604;0;1565;0.62014586;0.60424709;0.00000257;0.00000247;0.00006254;0.01619827;0.00009424;0.98393172
60;229;1422;3;1423;0.62150168;0.62221253;0.00000220;0.00000218;0.00006034;0.01381895;0.00005922;0.98627567
61;255;1587;1;1613;0.62301493;0.63279718;0.00000237;0.00000238;0.00005798;0.01478365;0.00004457;0.98532468
62;209;1303;3;1321;0.62425792;0.63296598;0.00000188;0.00000189;0.00005609;0.01172315;0.00004437;0.98834497
63;259;1619;1;1598;0.62580180;0.61722672;0.00000226;0.00000221;0.00005383;0.01394174;0.00006752;0.98615462
64;260;1629;2;1665;0.62735540;0.64087760;0.00000219;0.00000222;0.00005164;0.01342523;0.00003568;0.98666418
65;247;1551;0;1553;0.62883496;0.62874496;0.00000201;0.00000199;0.00004962;0.01225654;0.00004974;0.98781794
66;252;1587;3;1549;0.63034803;0.61541516;0.00000199;0.00000192;0.00004764;0.01200414;0.00007078;0.98806733
67;259;1635;1;1619;0.63190693;0.62533796;0.00000197;0.00000193;0.00004566;0.01182705;0.00005450;0.98824233
68;238;1506;3;1503;0.63334280;0.63230962;0.00000175;0.00000173;0.00004391;0.01045151;0.00004517;0.98960268
69;262;1661;8;1655;0.63492727;0.63361406;0.00000186;0.00000183;0.00004205;0.01101781;0.00004359;0.98904246
70;244;1551;2;1539;0.63640642;0.63125515;0.00000167;0.00000164;0.00004038;0.00985262;0.00004648;0.99019557
71;253;1612;4;1605;0.63794380;0.63539195;0.00000168;0.00000165;0.00003870;0.00979220;0.00004152;0.99025542
72;251;1603;2;1614;0.63947272;0.64354068;0.00000160;0.00000160;0.00003710;0.00931226;0.00003312;0.99073076
73;258;1652;7;1637;0.64104807;0.63622230;0.00000159;0.00000156;0.00003551;0.00916184;0.00004058;0.99087983
74;236;1515;1;1497;0.64249247;0.63459092;0.00000140;0.00000137;0.00003411;0.00804941;0.00004244;0.99198276
75;246;1582;3;1627;0.64400154;0.66218966;0.00000141;0.00000144;0.00003269;0.00804297;0.00001935;0.99198914
76;256;1651;2;1647;0.64557576;0.64386237;0.00000142;0.00000140;0.00003128;0.00800708;0.00003282;0.99202478
77;247;1596;3;1637;0.64709824;0.66355896;0.00000132;0.00000134;0.00002996;0.00740006;0.00001858;0.99262714
78;221;1432;2;1438;0.64846349;0.65126812;0.00000114;0.00000113;0.00002882;0.00636937;0.00002660;0.99365079
79;243;1578;1;1559;0.64996803;0.64182794;0.00000121;0.00000118;0.00002761;0.00670940;0.00003475;0.99331295
80;245;1594;2;1614;0.65148842;0.65931374;0.00000118;0.00000118;0.00002643;0.00647646;0.00002106;0.99354440
81;287;1872;6;1842;0.65327406;0.64315641;0.00000132;0.00000129;0.00002511;0.00720685;0.00003348;0.99281895
82;246;1609;2;1642;0.65480846;0.66802281;0.00000109;0.00000110;0.00002402;0.00590931;0.00001626;0.99410802
83;222;1455;0;1471;0.65619624;0.66261262;0.00000095;0.00000095;0.00002307;0.00512223;0.00001911;0.99489081
84;285;1873;6;1893;0.65798223;0.66561180;0.00000117;0.00000117;0.00002190;0.00624212;0.00001748;0.99377728
85;258;1700;1;1683;0.65960318;0.65257853;0.00000102;0.00000099;0.00002089;0.00538859;0.00002562;0.99462587
86;242;1598;1;1604;0.66112721;0.66308391;0.00000092;0.00000091;0.00001997;0.00483262;0.00001885;0.99517900
87;265;1754;5;1764;0.66280013;0.66691869;0.00000096;0.00000096;0.00001901;0.00503639;0.00001681;0.99497622
88;281;1865;5;1854;0.66457874;0.66096258;0.00000098;0.00000096;0.00001803;0.00506539;0.00002007;0.99494737
89;237;1577;2;1590;0.66608250;0.67145270;0.00000079;0.00000079;0.00001723;0.00408451;0.00001465;0.99592376
90;258;1721;8;1689;0.66772342;0.65668738;0.00000083;0.00000080;0.00001641;0.00423270;0.00002275;0.99577624
91;283;1892;2;1874;0.66952795;0.66265911;0.00000087;0.00000085;0.00001554;0.00439677;0.00001908;0.99561286
92;252;1689;0;1655;0.67113894;0.65674603;0.00000074;0.00000072;0.00001480;0.00372842;0.00002271;0.99627846
93;243;1633;4;1630;0.67269605;0.67188787;0.00000069;0.00000068;0.00001411;0.00342861;0.00001446;0.99657720
94;268;1805;3;1755;0.67441756;0.65558463;0.00000072;0.00000070;0.00001338;0.00358711;0.00002349;0.99641931
95;274;1850;4;1846;0.67618215;0.67470759;0.00000071;0.00000070;0.00001268;0.00347343;0.00001327;0.99653256
96;246;1665;2;1645;0.67777038;0.66924328;0.00000061;0.00000059;0.00001207;0.00296886;0.00001567;0.99703550
97;264;1792;4;1774;0.67947894;0.67298937;0.00000062;0.00000061;0.00001144;0.00302113;0.00001398;0.99698341
98;262;1782;3;1789;0.68117887;0.68360716;0.00000059;0.00000059;0.00001085;0.00284297;0.00001005;0.99716103
99;266;1814;5;1796;0.68290901;0.67645949;0.00000057;0.00000056;0.00001028;0.00273351;0.00001257;0.99727023
100;218;1490;1;1549;0.68433028;0.71087652;0.00000045;0.00000046;0.00000982;0.00214183;0.00000408;0.99786043
101;266;1823;3;1893;0.68606848;0.71245766;0.00000053;0.00000054;0.00000930;0.00247304;0.00000386;0.99752998
102;260;1786;3;1793;0.68777174;0.69041198;0.00000049;0.00000049;0.00000880;0.00228926;0.00000809;0.99771333
103;272;1873;4;1861;0.68955815;0.68519884;0.00000049;0.00000048;0.00000831;0.00226137;0.00000956;0.99774116
104;245;1691;3;1683;0.69117117;0.68778098;0.00000042;0.00000041;0.00000789;0.00193350;0.00000880;0.99806833
105;252;1744;3;1746;0.69283426;0.69368297;0.00000041;0.00000041;0.00000748;0.00188421;0.00000727;0.99811757
106;239;1658;5;1643;0.69441521;0.68888891;0.00000038;0.00000037;0.00000710;0.00169713;0.00000849;0.99830431
107;241;1675;0;1637;0.69601303;0.67925310;0.00000036;0.00000035;0.00000674;0.00162393;0.00001152;0.99837738
108;263;1833;3;1828;0.69776094;0.69585079;0.00000038;0.00000037;0.00000636;0.00167287;0.00000677;0.99832851
109;285;1991;6;1966;0.69966000;0.69127989;0.00000039;0.00000038;0.00000597;0.00170207;0.00000786;0.99829936
110;233;1632;3;1654;0.70121646;0.71078640;0.00000030;0.00000030;0.00000567;0.00132106;0.00000409;0.99867982
111;253;1776;2;1779;0.70291036;0.70371836;0.00000031;0.00000031;0.00000536;0.00135517;0.00000521;0.99864572
112;263;1851;2;1855;0.70467561;0.70585996;0.00000031;0.00000031;0.00000505;0.00132724;0.00000485;0.99867362
113;257;1813;3;1835;0.70640486;0.71484220;0.00000029;0.00000029;0.00000476;0.00122299;0.00000356;0.99877775
114;248;1754;5;1755;0.70807755;0.70909089;0.00000026;0.00000026;0.00000449;0.00111462;0.00000434;0.99888599
115;264;1872;0;1875;0.70986253;0.71022725;0.00000027;0.00000026;0.00000423;0.00111594;0.00000417;0.99888468
116;287;2040;4;2018;0.71180809;0.70411724;0.00000028;0.00000027;0.00000395;0.00113423;0.00000514;0.99886644
117;280;1996;5;2012;0.71371138;0.71985686;0.00000025;0.00000025;0.00000370;0.00103562;0.00000298;0.99896491
118;232;1658;5;1680;0.71529222;0.72570193;0.00000020;0.00000020;0.00000350;0.00081186;0.00000241;0.99918848
119;244;1747;2;1748;0.71695864;0.71698111;0.00000020;0.00000020;0.00000330;0.00080517;0.00000330;0.99919516
120;256;1838;1;1827;0.71871114;0.71395075;0.00000020;0.00000019;0.00000310;0.00079390;0.00000367;0.99920642
121;250;1799;6;1774;0.72042674;0.71130711;0.00000018;0.00000018;0.00000292;0.00072928;0.00000402;0.99927098
122;251;1810;3;1790;0.72215331;0.71400082;0.00000018;0.00000017;0.00000274;0.00068822;0.00000366;0.99931204
123;277;2003;2;1969;0.72406352;0.71134394;0.00000018;0.00000018;0.00000256;0.00070888;0.00000402;0.99929136
124;251;1820;3;1803;0.72579885;0.71918631;0.00000016;0.00000015;0.00000240;0.00060307;0.00000305;0.99939710
125;298;2166;5;2129;0.72786444;0.71563023;0.00000017;0.00000017;0.00000223;0.00066385;0.00000346;0.99933636
126;253;1844;4;1864;0.72962272;0.73792559;0.00000014;0.00000014;0.00000209;0.00052823;0.00000153;0.99947190
127;281;2053;0;2038;0.73158062;0.72526693;0.00000015;0.00000014;0.00000194;0.00054556;0.00000245;0.99945456
128;267;1956;2;1936;0.73344582;0.72563720;0.00000013;0.00000013;0.00000181;0.00048347;0.00000242;0.99951667
129;249;1828;3;1847;0.73518962;0.74266183;0.00000012;0.00000011;0.00000170;0.00042223;0.00000127;0.99957788
130;247;1818;0;1767;0.73692340;0.71538460;0.00000011;0.00000010;0.00000159;0.00039221;0.00000349;0.99960786
131;258;1904;2;1915;0.73873883;0.74282390;0.00000011;0.00000011;0.00000148;0.00038227;0.00000127;0.99961782
132;242;1790;3;1773;0.74044573;0.73355401;0.00000009;0.00000009;0.00000139;0.00033581;0.00000180;0.99966425
133;274;2031;0;2037;0.74238312;0.74343067;0.00000010;0.00000010;0.00000129;0.00035277;0.00000124;0.99964732
134;249;1851;2;1885;0.74414808;0.75763667;0.00000009;0.00000009;0.00000120;0.00029929;0.00000070;0.99970078
135;246;1833;3;1825;0.74589598;0.74277574;0.00000008;0.00000008;0.00000112;0.00027609;0.00000127;0.99972397
136;250;1867;0;1871;0.74767643;0.74839997;0.00000008;0.00000008;0.00000105;0.00026153;0.00000102;0.99973851
137;225;1684;2;1693;0.74928248;0.75311387;0.00000006;0.00000006;0.00000098;0.00022082;0.00000084;0.99977922
