hash_family;5
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167023
sparsity;0.53672695
a-priori fpp;0.00045692
fpp;0.00045538
a-priori safeness probability;0.03130724
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
51;256;1554;8;1538;0.60771632;0.60266459;0.00000332;0.00000327;0.00008630;0.02209238;0.00009808;0.97814894
52;256;1558;6;1580;0.60920179;0.61863744;0.00000321;0.00000325;0.00008309;0.02126990;0.00006507;0.97895384
53;256;1561;4;1523;0.61069095;0.59585291;0.00000311;0.00000303;0.00007997;0.02047318;0.00011625;0.97973418
54;256;1565;0;1557;0.61218369;0.60820311;0.00000301;0.00000299;0.00007696;0.01970156;0.00008523;0.98049051
55;256;1569;1;1605;0.61368012;0.62719810;0.00000292;0.00000298;0.00007404;0.01895443;0.00005185;0.98122340
56;256;1573;5;1575;0.61518019;0.61643833;0.00000283;0.00000282;0.00007122;0.01823116;0.00006892;0.98193341
57;256;1577;3;1524;0.61668390;0.59601092;0.00000273;0.00000263;0.00006848;0.01753115;0.00011580;0.98262101
58;256;1581;3;1573;0.61819136;0.61517406;0.00000265;0.00000263;0.00006584;0.01685380;0.00007123;0.98328692
59;256;1585;4;1632;0.61970246;0.63849765;0.00000256;0.00000263;0.00006328;0.01619852;0.00003812;0.98393148
60;256;1588;3;1596;0.62121725;0.62416893;0.00000248;0.00000248;0.00006080;0.01556475;0.00005622;0.98455530
61;256;1592;4;1582;0.62273574;0.61893582;0.00000239;0.00000237;0.00005841;0.01495191;0.00006456;0.98515886
62;256;1596;2;1587;0.62425792;0.62040657;0.00000231;0.00000229;0.00005609;0.01435946;0.00006211;0.98574275
63;256;1600;4;1625;0.62578386;0.63575900;0.00000224;0.00000226;0.00005385;0.01378685;0.00004110;0.98630738
64;256;1604;3;1542;0.62731355;0.60305047;0.00000216;0.00000207;0.00005169;0.01323355;0.00009713;0.98685330
65;256;1608;2;1590;0.62884694;0.62157935;0.00000209;0.00000206;0.00004961;0.01269903;0.00006022;0.98738092
66;256;1612;2;1624;0.63038409;0.63487101;0.00000202;0.00000203;0.00004759;0.01218279;0.00004212;0.98789084
67;256;1616;3;1624;0.63192499;0.63511926;0.00000195;0.00000195;0.00004564;0.01168432;0.00004183;0.98838341
68;256;1620;3;1641;0.63346964;0.64176768;0.00000188;0.00000190;0.00004376;0.01120313;0.00003481;0.98885918
69;256;1624;2;1620;0.63501811;0.63330728;0.00000181;0.00000180;0.00004195;0.01073874;0.00004396;0.98931849
70;256;1628;2;1635;0.63657033;0.63917124;0.00000175;0.00000175;0.00004020;0.01029067;0.00003741;0.98976189
71;256;1632;1;1617;0.63812637;0.63188744;0.00000169;0.00000167;0.00003851;0.00985847;0.00004569;0.99018979
72;256;1636;2;1615;0.63968617;0.63135260;0.00000163;0.00000160;0.00003688;0.00944168;0.00004636;0.99060261
73;256;1640;5;1614;0.64124984;0.63170254;0.00000157;0.00000154;0.00003531;0.00903985;0.00004592;0.99100071
74;256;1644;4;1650;0.64281732;0.64553988;0.00000151;0.00000152;0.00003380;0.00865255;0.00003131;0.99138463
75;256;1648;1;1603;0.64438862;0.62641656;0.00000146;0.00000142;0.00003234;0.00827936;0.00005295;0.99175471
76;256;1652;3;1659;0.64596373;0.64880717;0.00000140;0.00000141;0.00003094;0.00791986;0.00002854;0.99211133
77;256;1656;6;1647;0.64754272;0.64487082;0.00000135;0.00000134;0.00002958;0.00757364;0.00003191;0.99245483
78;256;1660;2;1642;0.64912558;0.64190775;0.00000130;0.00000129;0.00002828;0.00724031;0.00003467;0.99278575
79;256;1664;4;1657;0.65071225;0.64827853;0.00000125;0.00000125;0.00002703;0.00691948;0.00002897;0.99310434
80;256;1668;3;1662;0.65230286;0.64998043;0.00000121;0.00000120;0.00002582;0.00661075;0.00002760;0.99341094
81;256;1672;7;1679;0.65389735;0.65765768;0.00000116;0.00000116;0.00002466;0.00631378;0.00002211;0.99370605
82;256;1676;4;1626;0.65549576;0.63615024;0.00000112;0.00000108;0.00002355;0.00602818;0.00004067;0.99398988
83;256;1680;4;1655;0.65709800;0.64749610;0.00000107;0.00000106;0.00002248;0.00575360;0.00002962;0.99426287
84;256;1684;4;1685;0.65870422;0.65923315;0.00000103;0.00000103;0.00002144;0.00548971;0.00002111;0.99452525
85;256;1688;1;1673;0.66031438;0.65377098;0.00000099;0.00000098;0.00002045;0.00523615;0.00002475;0.99477750
86;256;1692;1;1661;0.66192842;0.64908165;0.00000095;0.00000094;0.00001950;0.00499260;0.00002832;0.99501979
87;256;1697;3;1703;0.66354644;0.66601485;0.00000091;0.00000092;0.00001859;0.00475873;0.00001727;0.99525255
88;256;1701;3;1699;0.66516840;0.66445053;0.00000088;0.00000088;0.00001771;0.00453424;0.00001810;0.99547601
89;256;1705;2;1734;0.66679436;0.67787331;0.00000084;0.00000086;0.00001687;0.00431881;0.00001203;0.99569046
90;256;1709;2;1696;0.66842425;0.66301799;0.00000081;0.00000080;0.00001606;0.00411214;0.00001888;0.99589628
91;256;1713;1;1746;0.67005813;0.68229777;0.00000077;0.00000079;0.00001529;0.00391394;0.00001048;0.99609369
92;256;1717;5;1670;0.67169601;0.65362036;0.00000074;0.00000072;0.00001455;0.00372393;0.00002486;0.99628299
93;256;1722;3;1742;0.67333788;0.68126708;0.00000071;0.00000072;0.00001384;0.00354183;0.00001082;0.99646443
94;256;1726;1;1723;0.67498380;0.67330986;0.00000068;0.00000068;0.00001315;0.00336736;0.00001385;0.99663830
95;256;1730;4;1740;0.67663372;0.68075114;0.00000065;0.00000066;0.00001250;0.00320027;0.00001100;0.99680483
96;256;1734;1;1768;0.67828768;0.69089490;0.00000062;0.00000064;0.00001188;0.00304030;0.00000796;0.99696428
97;256;1739;2;1743;0.67994565;0.68139172;0.00000060;0.00000060;0.00001128;0.00288720;0.00001078;0.99711692
98;256;1743;1;1705;0.68160772;0.66627592;0.00000057;0.00000056;0.00001071;0.00274072;0.00001713;0.99726301
99;256;1747;1;1748;0.68327385;0.68307930;0.00000055;0.00000055;0.00001016;0.00260063;0.00001022;0.99740273
100;256;1751;2;1740;0.68494403;0.68021894;0.00000052;0.00000052;0.00000964;0.00246670;0.00001118;0.99753630
101;256;1756;1;1719;0.68661833;0.67174679;0.00000050;0.00000049;0.00000914;0.00233871;0.00001452;0.99766403
102;256;1760;2;1744;0.68829668;0.68178266;0.00000048;0.00000048;0.00000866;0.00221643;0.00001065;0.99778599
103;256;1764;1;1734;0.68997914;0.67760843;0.00000046;0.00000045;0.00000820;0.00209966;0.00001213;0.99790251
104;256;1769;1;1775;0.69166571;0.69363034;0.00000044;0.00000044;0.00000777;0.00198819;0.00000729;0.99801379
